設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F06用)	チェック設問の解答(F08用)	チェック設問の解答(F10用)	F01:ラベル	F02:ラベル	F03:リンクボタン（ＵＲＬ）	F04:ラベル	F05:ラベル	F06:セレクトボックス	F07:ラベル	F08:セレクトボックス	F09:ラベル	F10:セレクトボックス	F11:ラベル
md46xh	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=md46xh	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
stk6um	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=stk6um	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
3g9wdb	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=3g9wdb	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
8rpmxx	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=8rpmxx	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
9t3hfx	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=9t3hfx	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
dcq47m	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=dcq47m	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
vjkgbz	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=vjkgbz	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
v6n32k	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=v6n32k	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
3m2syy	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=3m2syy	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
xbutfh	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=xbutfh	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
6tyhce	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6tyhce	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
6v5duh	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6v5duh	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
bqdqmc	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=bqdqmc	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
b38c9z	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=b38c9z	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
evrq8x	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=evrq8x	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
354pmq	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=354pmq	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ptm4ng	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ptm4ng	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
kyqwzx	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=kyqwzx	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
5kxa46	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=5kxa46	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
fntwk7	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=fntwk7	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
mms7f6	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=mms7f6	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
meck84	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=meck84	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
9bdmuk	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=9bdmuk	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
wg5gqv	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=wg5gqv	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
d3pa6x	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=d3pa6x	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
v2xj83	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=v2xj83	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
5vm3wk	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=5vm3wk	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
u34xfb	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=u34xfb	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
68jg2p	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=68jg2p	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
mb375c	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=mb375c	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
znpxes	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=znpxes	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
5zuq2d	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=5zuq2d	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
k5nh37	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=k5nh37	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ykw7k8	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ykw7k8	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
2bm47b	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=2bm47b	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
utpebc	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=utpebc	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
kqmr57	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=kqmr57	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
cs4aqc	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=cs4aqc	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
kczq9a	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=kczq9a	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
hvbf2b	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hvbf2b	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ujtpwy	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ujtpwy	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
shw8k5	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=shw8k5	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
kbkfut	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=kbkfut	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
jfp8cp	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=jfp8cp	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
hufbuy	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hufbuy	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
xrd2v5	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=xrd2v5	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
356avd	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=356avd	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
6ddsd7	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6ddsd7	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
4vu9fy	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=4vu9fy	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
tzk4ke	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=tzk4ke	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
hs4kar	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hs4kar	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
4hv8gq	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=4hv8gq	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
n4gcc6	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=n4gcc6	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
h4xfan	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=h4xfan	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
jn7auf	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=jn7auf	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
8hz5cx	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=8hz5cx	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
cczcpa	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=cczcpa	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
acnwsa	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=acnwsa	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ze8mgr	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ze8mgr	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
42cvan	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=42cvan	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
u549jb	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=u549jb	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
2hbxkk	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=2hbxkk	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ddvnys	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ddvnys	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
64gcnu	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=64gcnu	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
wb7v34	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=wb7v34	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
